States,population,2022,2021,2020,2019
Bihar,127368000,125532000,123695000,121895000,120114000
Jharkhand,39632000,39135000,38637000,38115000,37581000
Madhya Pradesh,86923000,85891000,84860000,83755000,82613000
Chhattisgarh,30294000,29951000,29607000,29237000,28852000
Maharashtra,126710000,125736000,124762000,123676000,122533000
Goa,1577000,1569000,1561000,1553000,1543000
Tamil Nadu,76936000,76707000,76479000,76167000,75813000
Puducherry,1658000,1623000,
West Bengal,99243000,98764000,98285000,97719000,97109000
Andaman ,403000,402000,401000,399000,398000
Uttar Pradesh,236484000,234094000,231704000,228931000,225967000
Gujarat,71794000,70934000,70075000,69171000,68245000
Daman DIU & dadra,1293000,1200000,
Andhra Pradesh,53217000,53033000,52849000,52599000,52315000
Telangana,38315000,37953000,37771000,37536000,37283000
Rajasthan,81316000,80444000,79572000,78609000,77601000
Karnataka,67833000,67409000,66986000,66496000,65973000